Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Định Vị,Latitude,Longitude,Total_Amenities,Average_Distance_All,Average_Distance_Hospital,Average_Distance_School,Average_Distance_Restaurant,Average_Distance_Attraction,Average_Distance_Public_Transport
"Bán nhà thổ cư - Hà Đông, Hà Nội 67m2 sổ đỏ giá 8.5 tỷ lh 0878 800 ***","8,5 tỷ","67,7 m²",4,3,"Hà Đông, Hà Nội","Đường Hoàng Văn Thụ, Phường Dương Nội, Hà Đông, Hà Nội",20.9809284,105.74637,8,1.8854121933416568,2.3857294481565297,2.2264994464549757,1.6739438629470504,1.548793753878569,0.0
Chính chủ cần bán gấp villa nghỉ dưỡng Venus Flamingo Đại Lải không qua trung gian 0922 211 ***,"9,5 tỷ",180 m²,4,4,"Phúc Yên, Vĩnh Phúc"," Xã Ngọc Thanh,  Phúc Yên,  Vĩnh Phúc",21.2332705,105.7035505,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán Nhà đẹp 1 trệt 2 lầu, ngay đường Nguyễn Ái Quốc, Tân Hiệp - vị trí kinh doanh - Giảm sâu","5,3 tỷ",68 m²,3,3,"Biên Hòa, Đồng Nai","Đường Nguyễn Ái Quốc, Phường Tân Hiệp, Biên Hòa, Đồng Nai",10.96737482,106.8564429,2,1.4360624591480473,0.0,0.0,1.4360624591480473,0.0,0.0
Không ở tôi bán căn hộ chung cư Berriver No2 3PN+2WC 113m2 giá 8 tỷ bao thuế phí có thương lượng.,8 tỷ,113 m²,3,2,"Long Biên, Hà Nội","Berriver Jardin Long Biên, Nguyễn Văn Cừ, Bồ Đề, Long Biên, Hà Nội",21.04122651,105.8694521,421,2.0417735750364843,1.6642330133550127,1.4841009089918726,2.051790666891604,2.083755742982726,0.0
"Bán NR 3PN, 3WC tại Nguyễn Súy, Tân Quý, Tân Phú, 52m2",Giá thỏa thuận,52 m²,3,3,"Tân Phú, Hồ Chí Minh","Đường Nguyễn Súy, Phường Tân Quý, Tân Phú, Hồ Chí Minh",10.79295816,106.6225122,43,1.7408436406143923,2.225402017055301,1.9066670290899437,1.6064167723126284,1.3632822425541054,0.0
"Căn hộ 2PN The Beverly Solari Vinhomes Grand Park giá 2,9 tỷ thanh toán dài hạn 2 đến 3 năm","2,9 tỷ",59 m²,2,2,"Quận 9, Hồ Chí Minh"," Phường Long Bình,  Quận 9,  Hồ Chí Minh",10.7589554,106.6730492,414,1.6733296695092115,1.1638557778393117,1.5122363127537346,1.7018920440815228,1.9558045877698915,0.0
"Nhà mới đường 28A phường Bình Trị Đông B - khu Tên Lửa cạnh siêu thị Coopmart đường 19 - 4,5m x 20m","12,5 tỷ",90 m²,5,5,"Bình Tân, Hồ Chí Minh","Đường 28A, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",10.75425635,106.614243,56,1.4345287880944368,1.2091806614141787,1.8898912722966883,1.3285220189580593,0.0,0.0
"Căn hộ The Beverly Solari giá 1,862 tỷ thanh toán dài hạn 2 đến 3 năm ưu đãi lãi suất lên đến 2 năm","1,86 tỷ",30 m²,1,1,"Quận 9, Hồ Chí Minh"," Phường Long Thạnh Mỹ,  Quận 9,  Hồ Chí Minh",10.7589554,106.6730492,414,1.6733296695092115,1.1638557778393117,1.5122363127537346,1.7018920440815228,1.9558045877698915,0.0
"Bán Nhà 5 Tầng THANG MÁY, Ô TÔ TRÁNH - 37m, khu giãn dân Mỗ Lao, Hà Đông, Chính Chủ - Chỉ hơn 9 Tỷ",9 tỷ,37 m²,3,4,"Hà Đông, Hà Nội","Mỗ Lao, Đường Vũ Trọng Khánh, Phường Mỗ Lao, Hà Đông, Hà Nội",20.9821715,105.7842539,32,1.5678301750677546,1.5468325431351557,1.9060471647189758,1.5147334918128788,1.0967637348270365,0.0
"Bán căn hộ Vinhomes Grand Park 2 phòng ngủ, 2 toilet giá chỉ 2 tỷ 650 sẵn sổ hồng công chứng ngay","2,65 tỷ",67 m²,2,2,"Quận 9, Hồ Chí Minh"," Đường Nguyễn Xiển,  Phường Long Thạnh Mỹ,  Quận 9,  Hồ Chí Minh",10.7589554,106.6730492,414,1.6733296695092115,1.1638557778393117,1.5122363127537346,1.7018920440815228,1.9558045877698915,0.0
"BÁN NHÀ MỚI 7 tầng HOÀNG CẦU 15,5tỷ * DT 50m2* MT 4,1m* Nở Hậu - thang máy - Full nội thất",15 tỷ,50 m²,3,3,"Đống Đa, Hà Nội","Phường Ô Chợ Dừa, Đống Đa, Hà Nội",21.0213924,105.8250224,382,1.7697624128012612,1.5632281438590738,1.6400406405613281,1.7090203652826486,2.2354993953235422,0.0
Nhà 1 trệt 1 lầu 64m . Kdc Lê phong tân bình dĩ an,"3,2 tỷ",64 m²,3,2,"Dĩ An, Bình Dương","Đường Lê Hồng Phong, Phường Tân Bình, Dĩ An, Bình Dương",10.9367255,106.762126,0,0.0,0.0,0.0,0.0,0.0,0.0
